Monster,Level,Location,Area Level
Skeleton Warrior,65, Ancient Burial Mound > Chamber of Immortality, 70
Skeleton Warg,66, Ancient Burial Mound > Chamber of Immortality, 70
Death Knight,72, Ancient Burial Mound > Chamber of Immortality, 70
Ghost,65, Ancient Burial Mound > Chamber of Immortality, 70
Grudge Ghost,65, Ancient Burial Mound > Chamber of Immortality, 70
Rage Ghost,65, Ancient Burial Mound > Chamber of Immortality, 70
Empress Ghost(2),65, Ancient Burial Mound > Chamber of Immortality, 70
Empress Ghost(2),70, Ancient Burial Mound > Chamber of Immortality, 70
Wight,70, Ancient Burial Mound > Chamber of Immortality, 70
Frosted Skeleton,70, Ancient Burial Mound > Chamber of Immortality, 70
Dark Skeleton,70, Ancient Burial Mound > Chamber of Immortality, 70
Undead,70, Ancient Burial Mound > Chamber of Immortality, 70
Eliminator,70, Ancient Burial Mound > Chamber of Immortality, 70
Cursed Dragon,74, Ancient Burial Mound > Chamber of Immortality, 70
Shadow Goblin Fighter,70, Ancient Burial Mound > Chamber of Hunting, 70
Shadow Sling Goblin,70, Ancient Burial Mound > Chamber of Hunting, 70
Shadow Goblin Leader,75, Ancient Burial Mound > Chamber of Hunting, 70
Skeleton Mage(3),62, Ancient Burial Mound > Chamber of Hunting, 70
Skeleton Mage(3),70, Ancient Burial Mound > Chamber of Hunting, 70
Skeleton Sorcerer,63, Ancient Burial Mound > Chamber of Hunting, 70
Skeleton Warrior(2),64, Ancient Burial Mound > Chamber of Hunting, 70
Skeleton Warrior(2),70, Ancient Burial Mound > Chamber of Hunting, 70
Skeleton Lord Abyss,67, Ancient Burial Mound > Chamber of Hunting, 70
Dark Skeleton,70, Ancient Burial Mound > Chamber of Hunting, 70
Dark Skeleton Brute,70, Ancient Burial Mound > Chamber of Hunting, 70
Worm,70, Ancient Burial Mound > Chamber of Hunting, 70
Maneater,70, Ancient Burial Mound > Chamber of Hunting, 70
Shadow Harpy,70, Ancient Burial Mound > Chamber of Hunting, 70
Manticore,72, Ancient Burial Mound > Chamber of Hunting, 70
Undead(4),65, The Rift's Inner Depths, 65
Undead(4),66, The Rift's Inner Depths, 65
Ghost(3),66, The Rift's Inner Depths, 65
Ghost(3),67, The Rift's Inner Depths, 65
Skeleton Mage,65, The Rift's Inner Depths, 65
Skeleton Warrior,65, The Rift's Inner Depths, 65
Ghost Mail,68, The Rift's Inner Depths, 65
Mist Warrior,65, The Rift's Inner Depths, 65
Mist Priest,65, The Rift's Inner Depths, 65
Undead(6),63, The Rift's Inner Depths > Left Pool, 0
Undead(6),64, The Rift's Inner Depths > Left Pool, 0
Undead(6),65, The Rift's Inner Depths > Left Pool, 0
Stout Undead,65, The Rift's Inner Depths > Left Pool, 0
Sword Undead,65, The Rift's Inner Depths > Left Pool, 0
Mist Warrior,65, The Rift's Inner Depths > Left Pool, 0
Mist Fighter,65, The Rift's Inner Depths > Left Pool, 0
Mist Wyrm,65, The Rift's Inner Depths > Left Pool, 0
Undead(10),63, The Rift's Inner Depths > Right Pool, 0
Undead(10),65, The Rift's Inner Depths > Right Pool, 0
Undead(10),66, The Rift's Inner Depths > Right Pool, 0
Warrior Undead,65, The Rift's Inner Depths > Right Pool, 0
