Name,Item Rarity,From,Reachable From/Location
Red Lumber,IR4,Logging Spot (X312|Y404),Outside
Cedar Wood,IR5,Logging Spot (X312|Y404),Outside
Red Lumber,IR4,Logging Spot (X311|Y404),Outside
Cedar Wood,IR5,Logging Spot (X311|Y404),Outside
Red Lumber,IR4,Logging Spot (X310|Y404),Outside
Red Lumber,IR4,Logging Spot (X334|Y394),Outside
Iron Ore,IR4,Mining Spot (X343|Y396),Outside
Iron Ore Fragment,IR3,Mining Spot (X343|Y396),Outside
White Liquor,IR5,Chest (X341|Y394),Outside
Large Fang,IR5,Direwolf lvl 19,Outside
Strong Animal Leather,IR5,Direwolf lvl 19,Outside
Polishing Sand,IR3,Debrees Spot (X346|Y401),Outside
Hematite Sand,IR4,Debrees Spot (X346|Y401),Outside
Marble,IR5,Mining Spot (X335|Y390),Outside
Iron Ore,IR4,Mining Spot (X335|Y390),Outside
Large Fang,IR5,Direwolf lvl17,Outside
Strong Animal Leather,IR5,Direwolf lvl17,Outside
Red Lumber,IR4,Logging Sopt (X347|Y394),Outside
Cedar Wood,IR5,Logging Sopt (X347|Y394),Outside
Strong Viscous Liquid,IR4,Sludgeman lvl 17,Outside
Black Tar ,IR5,Sludgeman lvl 17,Outside
Large Beast Steak,IR5,Create Spot (X357|Y397),Outside
Monster Gallstone ,IR4,Create Spot (X357|Y397),Outside
Polishing Sand,IR3,Debrees Spot (X361|Y398),Outside
Polishing Sand,IR3,Debrees Spot (X360|Y403),Outside
Hematite Sand,IR4,Debrees Spot (X360|Y403),Outside
Strong Viscous Liquid,IR4,Sludgeman lvl 16,Outside
Black Tar ,IR5,Sludgeman lvl 16,Outside
Red Lumber,IR4,Logging Spot (X362|Y403),Outside
Cedar Wood,IR5,Logging Spot (X362|Y403),Outside
Wild Herb,IR3,Herb Spot (X367|Y408),Outside
Yellow Thyme,IR5,Herb Spot (X367|Y408),Outside
Polishing Sand,IR3,Debrees Spot (X366|Y409),Outside
Marble,IR5,Debrees Spot (X366|Y409),Outside
Large Fang,IR5,Direwold lvl 16,Outside
Strong Animal Leather,IR5,Direwold lvl 16,Outside
Yellow Thyme,IR5,Herb Spot (X380|Y396),Outside
Angelica,IR4,Herb Spot (X380|Y396),Outside
Beast Steak,IR1,Rabbit lvl 1,Outside
Animal Fur,IR1,Rabbit lvl 1,Outside
Blank Scroll,IR2,Skeleton Sorcerer lvl 15,Outside
Magick Tinged Bone ,IR5,Skeleton Sorcerer lvl 15,Outside
Undead Nail Shaving,IR85,Skeleton Sorcerer lvl 15,Outside
Ancient Grimoire,IR7,Skeleton Sorcerer lvl 15,Outside
Yellow Thyme,IR5,Herb Spot (X368|Y394),Outside
Angelica,IR4,Herb Spot (X368|Y394),Outside
Yellow Thyme,IR5,Herb Spot (X366|Y393),Outside
Angelica,IR4,Herb Spot (X366|Y393),Outside
Yellow Thyme,IR5,Herb Spot (X366|Y392),Outside
Angelica,IR4,Herb Spot (X366|Y392),Outside
Drilled Ore,IR5,Chest (X364|Y385),Outside
Strong Viscous Liquid,IR4,Sludgeman lvl 15,Outside
Black Tar ,IR5,Sludgeman lvl 15,Outside
Large Fang,IR5,Direwolf lvl 15,Outside
Strong Animal Leather,IR5,Direwolf lvl 15,Outside
Yellow Thyme,IR5,Herb Spot (X369|Y379),Outside
Angelica,IR4,Herb Spot (X369|Y379),Outside
Coarse Sand,IR2,Water Spot (X385|Y409),Outside
Black Tar ,IR5,Water Spot (X385|Y409),Outside
Strong Viscous Liquid,IR4,Sludgeman lvl 17,Outside
Black Tar ,IR5,Sludgeman lvl 17,Outside
Hematite,IR6,Mining Spot (X385|Y406),Outside
Red Lumber,IR4,Logging Spot (X385|Y401),Outside
Goblin Horn,IR3,Goblin Bomber lvl 15,Outside
Iron Ore Fragment,IR3,Chest (X386|Y394),Outside
Iron Ingot ,IR4,Chest (X386|Y394),Outside
Harpy pinion,IR2,Harpy lvl 15,Outside
Bird Feather ,IR1,Harpy lvl 17,Outside
Coarse Sand,IR2,Water Spot (X379|Y384),Outside
Hematite Sand,IR4,Water Spot (X379|Y384),Outside
Iron Ore,IR4,Mining Spot (X379|Y379),Outside
Silver Ore,IR7,Mining Spot (X379|Y379),Outside
Hematite,IR6,Chest (X382|Y381),Outside
Angelica,IR4,Herb Spot (X377|Y370),Outside
Moonglow,IR5,Herb Spot (X377|Y370),Outside
Baby Herb,IR1,Herb Spot (X377|Y370),Outside
Wild Herb,IR3,Herb Spot (X377|Y370),Outside
Goblin Horn,IR3,Goblin Sling lvl 17,Outside
Small Horn,IR1,Goblin lvl 17,Outside
Dragon Hide ,IR8,Bone Pile (X372|Y371) Under neath,Outside
Harpy pinion,IR2,Bone Pile (X372|Y371) Under neath,Outside
Angelica,IR4,Herb Spot (X369|Y371),Outside
Baby Herb,IR1,Herb Spot (X369|Y371),Outside
Iron Ore,IR4,Mining Spot (X368|Y365),Outside
Marble,IR5,Mining Spot (X368|Y365),Outside
Silver Ore,IR7,Mining Spot (X368|Y365),Outside
Yellow Thyme,IR5,Herb Spot (X372|Y365),Outside
Moonglow,IR5,Herb Spot (X372|Y365),Outside
Large Fang,IR5,Direwolf lvl 17,Outside
Strong Animal Leather,IR5,Direwolf lvl 17,Outside
Large Beast Steak,IR5,Bone Pile (X379|Y364),Outside
Goblin Horn,IR3,Goblin lvl 17,Outside
Small Horn,IR1,Goblin lvl 17,Outside
Bird Feather ,IR1,Harpy lvl 15,Outside
Harpy pinion,IR2,Harpy lvl 15,Outside
Harpy Flight Feather,IR6,Bone Pile (X380|Y361),Outside
Monster Gallstone ,IR4,Bone Pile (X379|Y357),Outside
Bird Feather ,IR1,Harpy lvl 20,Outside
Harpy Pinion,IR2,Harpy lvl 20,Outside
Garnet ,IR5,Gold Pile (X369|Y356),Outside
Drilled Ore,IR5,Chest (X364|Y356),Outside
Sapphire,IR6,Chest (X364|Y356),Outside
Iron Ore Fragment,IR3,Chest (X364|Y356),Outside
Corpse-Eater Horn,,Gathering Node (X327 Y399),Outside
Goblin Horn,IR3,Goblin leader lvl  29,Southern Wall Fissure lvl 24 (X313|Y380)
Small Horn,IR1,Goblin fighter lvl 24,Southern Wall Fissure lvl 24 (X313|Y380)
Goblin Horn,IR3,Goblin Sheild lvl 24,Southern Wall Fissure lvl 24 (X313|Y380)
Unrefined Demon Wine,IR4,Hobgoblin fighter lvl 24,Southern Wall Fissure lvl 24 (X313|Y380)
Crystal,IR5,Green Mining Spot,Southern Wall Fissure lvl 24 (X313|Y380)
Peridot,IR4,Green Mining Spot,Southern Wall Fissure lvl 24 (X313|Y380)
Goblin Horn,IR3,Hobgoblin fighter lvl 24,Southern Wall Fissure lvl 24 (X313|Y380)
Goblin Horn,IR3,Sling Hobgoblin lvl 24,Southern Wall Fissure lvl 24 (X313|Y380)
Small Horn,IR1,Goblin fighter lvl 24,Southern Wall Fissure lvl 24 (X313|Y380)
Unrefined Demon Wine,IR4,Hobgoblin fighter lvl 24,Southern Wall Fissure lvl 24 (X313|Y380)
Crystal,IR5,Green Mining Spot,Southern Wall Fissure lvl 24 (X313|Y380)
Peridot,IR4,Green Mining Spot,Southern Wall Fissure lvl 24 (X313|Y380)
Small Fang,IR2,Wolf lvl25,Southern Wall Fissure lvl 24 (X313|Y380)
Animal Fur ,IR1,Wolf lvl25,Southern Wall Fissure lvl 24 (X313|Y380)
Supple Fur,IR2,Wolf lvl25,Southern Wall Fissure lvl 24 (X313|Y380)
Large Fang,IR5,Direwolf lvl 26,Southern Wall Fissure lvl 24 (X313|Y380)
Strong Animal Leather,IR5,Direwolf lvl 26,Southern Wall Fissure lvl 24 (X313|Y380)
Spun Yarn,IR5,Chest (X36|Y-40),Southern Wall Fissure lvl 24 (X313|Y380)
Demon Wolf's Sinewy Meat,IR45,Warg lvl 25,Southern Wall Fissure lvl 24 (X313|Y380)
Beast Fur,IR8,Grimwarg lvl 26,Southern Wall Fissure lvl 24 (X313|Y380)
Spun Yarn,IR5,Chest (X40|Y-52),Southern Wall Fissure lvl 24 (X313|Y380)
Large Fang,IR5,Direwolf lvl 25,Southern Wall Fissure lvl 24 (X313|Y380)
Strong Animal Leather,IR5,Direwolf lvl 25,Southern Wall Fissure lvl 24 (X313|Y380)
Beast Fur,IR8,Grimwarg lvl 27,Southern Wall Fissure lvl 24 (X313|Y380)
Marble,IR5,Nest ,Southern Wall Fissure lvl 24 (X313|Y380)
Large Fang,IR5,Direwolf lvl 25,Southern Wall Fissure lvl 24 (X313|Y380)
Strong Animal Leather,IR5,Direwolf lvl 25,Southern Wall Fissure lvl 24 (X313|Y380)
Giant Fur,IR4,Mole Troll lvl 30,Southern Wall Fissure lvl 24 (X313|Y380)
Thick Bone,IR9,Mole Troll lvl 30,Southern Wall Fissure lvl 24 (X313|Y380)
Troll's Blue Poisonous Moss,IR9,Mole Troll lvl 30,Southern Wall Fissure lvl 24 (X313|Y380)
Garnet,IR5,Chest (X52|Y-88),Southern Wall Fissure lvl 24 (X313|Y380)
Spun Yarn,IR5,Chest (X49|Y-177),Southern Wall Fissure lvl 24 (X313|Y380)
Superior Saurian Tail,IR6,Sulfur Saurian lv 25,Southern Wall Fissure lvl 24 (X313|Y380)
Strong Lizardscale Pelt,IR6,Sulfur Saurian lv 25,Southern Wall Fissure lvl 24 (X313|Y380)
Saurian Gland,IR6,Sulfur Saurian lv 25,Southern Wall Fissure lvl 24 (X313|Y380)
Apophyllite,IR4,Sulfur Saurian lv 25,Southern Wall Fissure lvl 24 (X313|Y380)
Saurian Tail,IR2,Sulfur Saurian lv 25,Southern Wall Fissure lvl 24 (X313|Y380)
Iron Thread,IR6,Chest (X36|Y-144),Southern Wall Fissure lvl 24 (X313|Y380)
Clear Spring Water,IR3,Water Gathering spot,Southern Wall Fissure lvl 24 (X313|Y380)
Iron Thread,IR6,Chest (X71|Y-153),Southern Wall Fissure lvl 24 (X313|Y380)
Crystal,IR5,Small Chest (X60|Y-142),Southern Wall Fissure lvl 24 (X313|Y380)
Blob Flesh,IR9,Blob lvl 20,Southern Wall Fissure lvl 24 (X313|Y380)
Strong Viscous Liquid,IR4,Acid Blob lvl 20,Southern Wall Fissure lvl 24 (X313|Y380)
Large Fang,IR5,Direwolf lvl26,Southern Wall Fissure lvl 24 (X313|Y380)
Strong Animal Leather,IR5,Direwolf lvl26,Southern Wall Fissure lvl 24 (X313|Y380)
Crystal,IR5,Green Mining Spot,Southern Wall Fissure lvl 24 (X313|Y380)
Peridot,IR4,Green Mining Spot,Southern Wall Fissure lvl 24 (X313|Y380)
Spun Yarn,IR5,Chest (X54|Y-178),Southern Wall Fissure lvl 24 (X313|Y380)
Garnet ,IR5,Chest (X54|Y-178),Southern Wall Fissure lvl 24 (X313|Y380)
Ogre Claw,IR6,Ogre lvl 30,Southern Wall Fissure lvl 24 (X313|Y380)
Orge Fur,IR6,Ogre lvl 30,Southern Wall Fissure lvl 24 (X313|Y380)
Necrophagous Bristle ,IR7,Ogre lvl 30,Southern Wall Fissure lvl 24 (X313|Y380)
Garnet ,IR5,Chest (X57|Y-198),Southern Wall Fissure lvl 24 (X313|Y380)
Combat Fabric,IR5,Chest (X57|Y-198),Southern Wall Fissure lvl 24 (X313|Y380)
Large Fang,IR5,Direwolf lvl26,Southern Wall Fissure lvl 24 (X313|Y380)
Strong Animal Leather,IR5,Direwolf lvl26,Southern Wall Fissure lvl 24 (X313|Y380)
Giant Bone,IR3,Colossus lvl31,Southern Wall Fissure lvl 24 (X313|Y380)
Colossur Horn,IR6,Colossus lvl31,Southern Wall Fissure lvl 24 (X313|Y380)
Large Metal Plate,IR5,Colossus lvl31,Southern Wall Fissure lvl 24 (X313|Y380)
Garnet ,IR5,Chest (X47|Y-198),Southern Wall Fissure lvl 24 (X313|Y380)
Spinel,IR4,Mining Node X30 Y-127,Southern Wall Fissure lvl 24 (X313|Y380)
Drilled Ore,IR5,Nead Explosive Barrel,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Hematite,IR6,Nead Explosive Barrel,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Silver Ore,IR7,Nead Explosive Barrel,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Iron Ore,IR4,Rock Saurian lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Rock Scale,IR6,Rock Saurian lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Superior Saurian Tail,IR6,Rock Saurian lvl 29,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Harpy Pinion ,IR2,Harpy lvl 25,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Bird Feather ,IR1,Harpy lvl 25,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Harpy Flight Feather,IR6,Harpy lvl 25,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Silver Ingot,IR7,Chest (X62|Y123),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Goblin Horn,IR3,Hobgoblin Fighter lv 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Unrefined Demon Wine,IR4,Hobgoblin Fighter lv 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Magick Tinged Bone,IR5,Skeleton Sorcerer lvl 27,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Dry Bone ,IR2,Skeleton Sorcerer lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Blank Scroll,IR2,Skeleton Sorcerer lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Iron Ore,IR4,Rock Saurian lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Rock Scale,IR6,Rock Saurian lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Superior Saurian Tail,IR6,Rock Saurian lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Strong Viscous Liquid,IR4,Sludgeman lvl 29,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Black Tar ,IR5,Sludgeman lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Undead Carrion ,IR1,Sword Undead lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Burial Shroud,IR2,Sword Undead lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Drilled Ore,IR5,Mining Spot (X37|Y81),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Hematite,IR6,Mining Spot (X37|Y81),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Hematite Sand,IR4,Mining Spot (X37|Y81),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Rugged Leather ,IR5,Cyclops lvl 32,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Giant Bone ,IR3,Cyclops lvl 32,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Giant Eyeball,IR8,Cyclops lvl 32,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Harpy Pinion ,IR2,Harpy lvl 25,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Harpy Flight Feather,IR6,Harpy lvl 25,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Magick Tinged Bone,IR5,Skeleton Sorcerer lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Goblin Horn,IR3,Goblin Fighter lvl 25,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Small Horn,IR1,Goblin Fighter lvl 25,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Iron Ore,IR4,Rock Saurian lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Rock Scale,IR6,Rock Saurian lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Superior Saurian Tail,IR6,Rock Saurian lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Drilled Ore,IR5,Mining Spot (X59|Y63),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Silver Ore,IR7,Mining Spot (X59|Y63),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Hematite,IR6,Mining Spot (X59|Y63),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Goblin Horn,IR3,Hobgoblin Fighter lv 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Unrefined Demon Wine,IR4,Hobgoblin Sling lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Rugged Leather ,IR5,Armored Cyclops lvl 32,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Giant Bone ,IR3,Armored Cyclops lvl 32,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Large Metal Plate,IR5,Armored Cyclops lvl 32,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Cyclops Tusk ,IR5,Armored Cyclops lvl 32,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Goblin Gunpowerder,IR6,Goblin Bomber lvl 25,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Strong Viscous Liquid,IR4,Sludgeman lvl 29,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Black Tar ,IR5,Sludgeman lvl 29,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Magick Medal,IR7,Golem lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Silver Ore,IR7,Mining Spot (X93|Y65),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Drilled Ore,IR5,Mining Spot (X98|Y62),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Hematite,IR6,Mining Spot (X98|Y62),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Hematite Sand,IR4,Mining Spot (X96|Y76),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Strong Viscous Liquid,IR4,Sludgeman lvl 29,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Black Tar ,IR5,Sludgeman lvl 29,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Sapphire ,IR6,Mining Spot (X117|Y85),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Goblin Gunpowerder,IR6,Goblin Bomber lvl 25,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Goblin Horn,IR3,Goblin Bomber lvl 25,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Unrefined Demon Wine,IR4,Goblin Bomber lvl 25,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Iron Ore,IR4,Rock Saurian lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Rock Scale,IR6,Rock Saurian lvl 29,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Superior Saurian Tail,IR6,Rock Saurian lvl 29,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Sapphire ,IR6,Mining Spot (X115|Y95),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Onyx ,IR6,Mining Spot (X115|Y95),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Rock Scale,IR6,Chest (X115|Y103),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Onyx ,IR6,Chest (X115|Y103),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Silver Ore,IR7,Small Chest (X104|Y102),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Goblin Horn,IR3,Goblin lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Small Horn,IR1,Goblin Shield lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Magick Tinged Bone,IR5,Skeleton Sorcerer lvl 26,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Blank Scroll,IR2,Skeleton Sorcerer lvl 26,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Rock Scale,IR6,Small Chest (X87|Y104),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Burial Shroud,IR2,Undead lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Undead Carrion ,IR1,Undead lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Rotten Lump,IR3,Shroud Undead lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Undead Extract,IR6,Shroud Undead lvl 28,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Iron Ore,IR4,Giant Geo Saurian lvl 30,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Rock Scale,IR6,Geo Saurian lvl 25,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Superior Saurian Tail,IR6,Geo Saurian lvl 25,Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Lava Rock,IR8,Geo Golem lvl 35 (CANCER),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Magick Medel,IR7,Geo Golem lvl 35 (CANCER),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Quality Magic Medals,IR?,Geo Golem lvl 35 (CANCER),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Silver Ore,IR7,Chest (X72|Y61),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Hematite Sand,IR4,Chest (X72|Y61),Volden Large Tunnels lvl 28 (X382|Y375) + (X385|Y365)
Voldic Diamond,IR?,Geo Golem Lv TBA,Volden Large Tunnels >>>Scorching Blocked Passage lvl 63 (X73|Y65) 
Blazing Lizard Pelt,IR?,Pyre Saurians lvl TBA,Volden Large Tunnels >>>Scorching Blocked Passage lvl 63 (X73|Y65) 
Large Fang,IR5,Direwolf lvl 26,Miners' Secret Route lvl 27 (X366|Y370)
Strong Animal Leather,IR5,Direwolf lvl 26,Miners' Secret Route lvl 27 (X366|Y370)
Mutated Bone Lump,IR7,Chimera lvl 27,Miners' Secret Route lvl 27 (X366|Y370)
Strong Lizardscale Pelt,IR6,Chimera lvl 27,Miners' Secret Route lvl 27 (X366|Y370)
Goblin Horn,IR3,Hobgoblin sling lvl 25,Miners' Secret Route lvl 27 (X366|Y370)
Small Horn,IR1,Goblin Fighter lvl 27,Miners' Secret Route lvl 27 (X366|Y370)
Pine Lumber ,IR6,Chest (X45|Y-29),Miners' Secret Route lvl 27 (X366|Y370)
Colossus Horn,IR6,Colossus lvl 25 Door doesn't unlock,Miners' Secret Route lvl 27 (X366|Y370)
Large Metal Plate ,IR5,Colossus lvl 25 Door doesn't unlock,Miners' Secret Route lvl 27 (X366|Y370)
Ape Fur,IR3,Brute Ape lvl 27,Miners' Secret Route lvl 27 (X366|Y370)
Ape Pelt ,IR3,Brute Ape lvl 27,Miners' Secret Route lvl 27 (X366|Y370)
Crystal,IR5,Mining Spot (X46|Y-36),Miners' Secret Route lvl 27 (X366|Y370)
Onyx,IR6,Mining Spot (X46|Y-36),Miners' Secret Route lvl 27 (X366|Y370)
Large Fang,IR5,Direwolf lvl 27,Miners' Secret Route lvl 27 (X366|Y370)
Strong Animal Leather,IR5,Direwolf lvl 27,Miners' Secret Route lvl 27 (X366|Y370)
Fine Bleacked Bone,IR3,Skeleton Brute lvl 35,Summit Chapel lvl 30 (X367|Y360)
Iron Ore Fragment ,IR3,Skeleton Knight lvl 30,Summit Chapel lvl 30 (X367|Y360)
Rusted Plate ,IR6,Skeleton Warrior lvl 33,Summit Chapel lvl 30 (X367|Y360)
Onyx ,IR6,Small Chest (X56|Y-22,Summit Chapel lvl 30 (X367|Y360)
Sapphire,IR6,Small Chest (X48|Y-32),Summit Chapel lvl 30 (X367|Y360)
Sphinx Claw,IR7,Small Chest (X48|Y-32),Summit Chapel lvl 30 (X367|Y360)
Scroll Of Holy,IR6,Small Chest (X53|Y-33),Summit Chapel lvl 30 (X367|Y360)
Sphinx Azure Pinion ,IR4,Small Chest (X53|Y-33),Summit Chapel lvl 30 (X367|Y360)
Phantom Ore,IR7,Ghost lvl 30,Summit Chapel lvl 30 (X367|Y360)
Agate,IR7,Wight lvl 35,Summit Chapel lvl 30 (X367|Y360)
Magickal Potion,IR9,Wight lvl 35,Summit Chapel lvl 30 (X367|Y360)
Goblin Horn,IR3,Goblin Fighter lvl 26,Fiend's Cavern lvl 26 (X349|Y404)
Small Horn,IR1,Goblin Shield lvl 26,Fiend's Cavern lvl 26 (X349|Y404)
Goblin Horn,IR3,Goblin lvl 26,Fiend's Cavern lvl 26 (X349|Y404)
Superior Saurian Tail,IR6,Saurin lvl 26,Fiend's Cavern lvl 26 (X349|Y404)
