Monster,Level,Location,Area Level
Skeleton Brute,60, Cesspool of Filth [Quest: High Difficulty: The Demon's Nest], 60
Harpy,60, Cesspool of Filth [Quest: High Difficulty: The Demon's Nest], 60
Infected Gorecyclops,60, Cesspool of Filth [Quest: High Difficulty: The Demon's Nest], 60
Skeleton Brute,60, Crypt of Murmurs [Quest: High Difficulty: An Uncertain Pride], 63
Lux Skeleton,60, Crypt of Murmurs [Quest: High Difficulty: An Uncertain Pride], 63
Infected Gorecyclops,61, Crypt of Murmurs [Quest: High Difficulty: An Uncertain Pride], 63
Infected Sling Hobgoblin,60, Crypt of Murmurs [Quest: High Difficulty: An Uncertain Pride], 63
Saurian Sage,60, Crypt of Murmurs [Quest: High Difficulty: An Uncertain Pride], 63
Chimera,61, Crypt of Murmurs [Quest: High Difficulty: An Uncertain Pride], 63
Saurian,63, Crypt of Murmurs [Quest: High Difficulty: An Uncertain Pride], 63
Saurian Sage,63, Crypt of Murmurs [Quest: High Difficulty: An Uncertain Pride], 63
Maneater,63, Crypt of Murmurs [Quest: High Difficulty: An Uncertain Pride], 63
Sling Hobgoblin,63, Crypt of Murmurs [Quest: High Difficulty: An Uncertain Pride], 63
Acid Blob,63, Crypt of Murmurs [Quest: High Difficulty: An Uncertain Pride], 63
Ghost Mail,63, Crypt of Murmurs [Quest: High Difficulty: An Uncertain Pride], 63
Infected Griffin,62, Crypt of Murmurs [Quest: High Difficulty: An Uncertain Pride], 63
Infected Hobgoblin(6),63, Dried Well by the Tower, 63
Infected Hobgoblin(6),65, Dried Well by the Tower, 63
Infected Hobgoblin Fighter,63, Dried Well by the Tower, 63
Infected Sling Hobgoblin,63, Dried Well by the Tower, 63
Infected Snow Harpy,63, Dried Well by the Tower, 63
Infected Direwolf,63, Dried Well by the Tower, 63
Eliminator,63, Dried Well by the Tower, 63
Infected Hobgoblin,63, Dried Well by the Tower, 63
Infected Gorecyclops,63, Dried Well by the Tower, 63
Infected Hobgoblin,65, Infected Den Depths [Quest: High Difficulty: A Revelry of Ruin], 65
Infected Hobgoblin Fighter(4),65, Infected Den Depths [Quest: High Difficulty: A Revelry of Ruin], 65
Infected Hobgoblin Fighter(4),66, Infected Den Depths [Quest: High Difficulty: A Revelry of Ruin], 65
Saurian Sage,65, Infected Den Depths [Quest: High Difficulty: A Revelry of Ruin], 65
Giant Saurian,65, Infected Den Depths [Quest: High Difficulty: A Revelry of Ruin], 65
Maneater,65, Infected Den Depths [Quest: High Difficulty: A Revelry of Ruin], 65
Blue Newt,60, Infected Den Depths [Quest: High Difficulty: A Revelry of Ruin], 65
Large Newt,60, Infected Den Depths [Quest: High Difficulty: A Revelry of Ruin], 65
Saurian Sage,60, Infected Den Depths [Quest: High Difficulty: A Revelry of Ruin], 65
Severely Infected Warg,66, Infected Den Depths [Quest: High Difficulty: A Revelry of Ruin], 65
Infected Snow Harpy,65, Infected Den Depths [Quest: High Difficulty: A Revelry of Ruin], 65
Infected Sling Hobgoblin,65, Infected Den Depths [Quest: High Difficulty: A Revelry of Ruin], 65
Infected Direwolf,60, Infected Den Depths [Quest: High Difficulty: A Revelry of Ruin], 65
Infected Snow Harpy,60, Infected Den Depths [Quest: High Difficulty: A Revelry of Ruin], 65
Black Griffin,63, Infected Den Depths [Quest: High Difficulty: A Revelry of Ruin], 65
Severely Infected Behemoth,63, Infected Den Depths [Quest: High Difficulty: A Revelry of Ruin], 65
Infected Direwolf,65, The Tunnel across the Bridge, 65
Rock Saurian,65, The Tunnel across the Bridge, 65
Rock Saurian Spinel,65, The Tunnel across the Bridge, 65
Saurian Sage,68, The Tunnel across the Bridge, 65
Infected Hobgoblin,65, The Tunnel across the Bridge, 65
Infected Hobgoblin Fighter,65, The Tunnel across the Bridge, 65
Infected Snow Harpy,65, The Tunnel across the Bridge, 65
Lapis Eye,65, The Tunnel across the Bridge, 65
Electric Slime,65, The Tunnel across the Bridge, 65
Aqua Jelly,65, The Tunnel across the Bridge, 65
Lindwurm,67, The Tunnel across the Bridge, 65
Infected Griffin,67, The Tunnel across the Bridge, 65
Acid Blob,68, Waterfall Echo Cavern, 68
Infected Gorecyclops,68, Waterfall Echo Cavern, 68
Infected Direwolf,68, Waterfall Echo Cavern, 68
Infected Snow Harpy,68, Waterfall Echo Cavern, 68
Infected Hobgoblin Fighter,68, Waterfall Echo Cavern, 68
Infected Sling Hobgoblin,68, Waterfall Echo Cavern, 68
Chimera,68, Waterfall Echo Cavern, 68
Ghoul,68, Waterfall Echo Cavern, 68
Infected Behemoth,70, Waterfall Echo Cavern, 68
Infected Direwolf,68, Fungal Colony Caves, 68
Infected Hobgoblin,68, Fungal Colony Caves, 68
Infected Hobgoblin Fighter,68, Fungal Colony Caves, 68
Infected Sling Hobgoblin,68, Fungal Colony Caves, 68
Infected Snow Harpy,68, Fungal Colony Caves, 68
Bolt Grimwarg,68, Fungal Colony Caves, 68
Troll,68, Fungal Colony Caves, 68
Severely Infected Warg,68, Fungal Colony Caves, 68
Infected Griffin,68, Fungal Colony Caves, 68
Severely Infected Stymphalídes,70, Fungal Colony Caves, 68
Severely Infected Behemoth,68, Fungal Colony Caves, 68
