Name,Item Rarity,From,Reachable From/Location
Orc Tusk,IR3,Infected Orc Banger lvl 68,Gardnox Fortress >>> Gardnox Waste Water Tunnel  >>> Gardnox Water Tunnel Depths lvl 65
Orcish Cloth,IR7,Infected Orc Banger lvl 68,Gardnox Fortress >>> Gardnox Waste Water Tunnel  >>> Gardnox Water Tunnel Depths lvl 65
Beast Claw,IR8,Grimwarg lvl 66,Gardnox Fortress >>> Gardnox Waste Water Tunnel  >>> Gardnox Water Tunnel Depths lvl 65
Beast Leather,IR9,Grimwarg lvl 66,Gardnox Fortress >>> Gardnox Waste Water Tunnel  >>> Gardnox Water Tunnel Depths lvl 65
Beast Fur,IR8,Grimwarg lvl 66,Gardnox Fortress >>> Gardnox Waste Water Tunnel  >>> Gardnox Water Tunnel Depths lvl 65
Unrefined Demon Wine,IR4,Infected Orc Banger lvl 65,Gardnox Fortress >>> Gardnox Waste Water Tunnel  >>> Gardnox Water Tunnel Depths lvl 65
Orc Tusk,IR3,Infected Orc Banger lvl 65,Gardnox Fortress >>> Gardnox Waste Water Tunnel  >>> Gardnox Water Tunnel Depths lvl 65
Orcish Cloth,IR7,Infected Orc Banger lvl 65,Gardnox Fortress >>> Gardnox Waste Water Tunnel  >>> Gardnox Water Tunnel Depths lvl 65
Orc's War Tusk,IR7,General Orc lvl 68,Gardnox Fortress >>> Gardnox Waste Water Tunnel  >>> Gardnox Water Tunnel Depths lvl 65
Cave Silkworm,IR30,Chest (X59 Y-109),Gardnox Fortress >>> Gardnox Waste Water Tunnel  >>> Gardnox Water Tunnel Depths lvl 65
Silver Ore,IR7,Chest (X59 Y-109),Gardnox Fortress >>> Gardnox Waste Water Tunnel  >>> Gardnox Water Tunnel Depths lvl 65
Orc Tusk,IR3,Mogok lvl 68,Gardnox Fortress >>> Gardnox Waste Water Tunnel  >>> Gardnox Water Tunnel Depths lvl 65
Orc Decoration,IR9,Mogok lvl 68,Gardnox Fortress >>> Gardnox Waste Water Tunnel  >>> Gardnox Water Tunnel Depths lvl 65
Strong Silk Thread,IR30,Chests (X48 Y-167),Gardnox Fortress >>> Gardnox Waste Water Tunnel  >>> Gardnox Water Tunnel Depths lvl 65
Cave Silkworm,IR30,Chests (X48 Y-167),Gardnox Fortress >>> Gardnox Waste Water Tunnel  >>> Gardnox Water Tunnel Depths lvl 65
