Monster,Level,Location,Area Level
Forest Goblin Fighter(7),42, Blue Waterway, 43
Forest Goblin Fighter(7),43, Blue Waterway, 43
Sling Forest Goblin,43, Blue Waterway, 43
Blue Newt,42, Blue Waterway, 43
Ooze(9),40, Blue Waterway, 43
Ooze(9),42, Blue Waterway, 43
Blob,40, Blue Waterway, 43
Silver Roar,43, Blue Waterway, 43
Ogre,42, Blue Waterway, 43
Troll,43, Blue Waterway, 43
Snow Harpy,69, Heavenly Terrace, 68
Harpy,68, Heavenly Terrace, 68
Sling Goblin,68, Heavenly Terrace, 68
Shield Goblin,68, Heavenly Terrace, 68
Goblin Fighter,68, Heavenly Terrace, 68
Strix,70, Heavenly Terrace, 68
Infected Snow Harpy,69, Heavenly Terrace, 68
Infected Gorecyclops,68, Heavenly Terrace, 68
Goblin,68, Heavenly Terrace, 68
Goblin Fighter,69, Heavenly Terrace, 68
Goblin Leader,69, Heavenly Terrace, 68
Photon Slime,68, Heavenly Terrace, 68
Saurian,68, Heavenly Terrace, 68
Giant Saurian(3),68, Heavenly Terrace, 68
Giant Saurian(3),69, Heavenly Terrace, 68
White Chimera,68, Heavenly Terrace, 68
Drake,70, Heavenly Terrace, 68
Forest Goblin,43, Erte Deenan, 42
Forest Goblin Fighter,42, Erte Deenan, 42
Sling Forest Goblin,42, Erte Deenan, 42
Brute Ape(4),42, Erte Deenan, 42
Brute Ape(4),43, Erte Deenan, 42
Forest Goblin,42, Erte Deenan, 42
Ent,42, Erte Deenan, 42
Direwolf,42, Erte Deenan, 42
Orc Battler(2),42, Erte Deenan, 42
Orc Battler(2),43, Erte Deenan, 42
Orc Aimer,42, Erte Deenan, 42
Orc Trooper,42, Erte Deenan, 42
Killer Bee(5),41, Erte Deenan, 42
Killer Bee(5),44, Erte Deenan, 42
Dread Ape,42, Erte Deenan, 42
Chimera,43, Erte Deenan, 42
Mole Troll,42, Erte Deenan, 42
Mist Fighter ★Nighttime,45, Erte Deenan, 42
Mist Hunter ★Nighttime,45, Erte Deenan, 42
Mist Sorcerer ★Nighttime,45, Erte Deenan, 42
Snow Harpy,42, Le Karvas Patiro, 0
Forest Goblin,40, Le Karvas Patiro, 0
Forest Goblin Fighter(7),42, Le Karvas Patiro, 0
Forest Goblin Fighter(7),43, Le Karvas Patiro, 0
Sling Forest Goblin,42, Le Karvas Patiro, 0
Brute Ape,43, Le Karvas Patiro, 0
Ent,42, Le Karvas Patiro, 0
Snow Harpy(6),42, Le Karvas Lotana, 0
Snow Harpy(6),43, Le Karvas Lotana, 0
Direwolf(12),42, Le Karvas Lotana, 0
Direwolf(12),43, Le Karvas Lotana, 0
Forest Goblin,42, Le Karvas Lotana, 0
Forest Goblin Fighter,43, Le Karvas Lotana, 0
Sling Forest Goblin,42, Le Karvas Lotana, 0
Troll,43, Le Karvas Lotana, 0
Worm,10, Le Karvas Lotana, 0
Cockatrice,43, Le Karvas Lotana, 0
Wolf(8),44,  Le Karvas Salto, 44
Wolf(8),45,  Le Karvas Salto, 44
Forest Goblin,44,  Le Karvas Salto, 44
Forest Goblin Fighter,44,  Le Karvas Salto, 44
Sling Forest Goblin(6),44,  Le Karvas Salto, 44
Sling Forest Goblin(6),45,  Le Karvas Salto, 44
Brute Ape,45,  Le Karvas Salto, 44
Dread Ape,45,  Le Karvas Salto, 44
Ent,46,  Le Karvas Salto, 44
Forest Goblin,44,  Le Karvas Salto, 44
Sling Forest Goblin,44,  Le Karvas Salto, 44
Mole Troll,45,  Le Karvas Salto, 44
Forest Goblin,45, Le Karvas Arma, 45
Forest Goblin Fighter(11),45, Le Karvas Arma, 45
Forest Goblin Fighter(11),46, Le Karvas Arma, 45
Sling Forest Goblin,45, Le Karvas Arma, 45
Harpy,45, Le Karvas Arma, 45
Snow Harpy,45, Le Karvas Arma, 45
Killer Bee,48, Le Karvas Arma, 45
Sphinx,46, Le Karvas Arma, 45
Ogre,45, Le Karvas Arma, 45
Silver Roar,45, Le Karvas Arma, 45
Skeleton Knight,45, Le Karvas Arma, 45
Skeleton Sorcerer,45, Le Karvas Arma, 45
Golem,45, Le Karvas Arma, 45
Direwolf,45, Le Karvas Arma, 45
Troll,45, Le Karvas Arma, 45
Angules,46, Le Karvas Arma, 45
Forest Goblin,45, Le Karvas Arma, 45
Forest Goblin Fighter,45, Le Karvas Arma, 45
Sling Forest Goblin,45, Le Karvas Arma, 45
